product_key,product_code,product_gender,product_material,product_style,product_colour,product_branding,product_fault_indicator,product_category,product_brand,product_is_current
1,001COL704,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
2,001COL722,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
3,001COLV67,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
4,003COL700,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
5,003COL704,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
6,003COL722,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
7,003COL955,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
8,004COL700,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
9,005COL700,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
10,006COL700,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
11,006COL722,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
12,006COLV67,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
13,007COL700,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
14,007COLV67,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
15,008COL700,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
16,008COL722,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
17,008COLV67,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
18,009COL700,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
19,009COL722,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
20,009COL954,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
21,009COL955,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
22,010COL700,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
23,010COL722,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
24,010COL955,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
25,011COL700,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
26,011COL722,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
27,012COL200,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
28,012COL568,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
29,012COL700,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
30,012COL722,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
31,013COL200,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
32,013COL700,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
33,013COL722,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
34,013COLV23,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
35,014COL200,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
36,014COL700,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
37,014COL722,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
38,014COLV21,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
39,015COL700,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
40,015COL722,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
41,015COLT31,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
42,015COLV67,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
43,016COL700,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
44,016COL722,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
45,016COLV64,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
46,016COLV67,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
47,017COL700,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
48,017COL722,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
49,004COL300X,Unisex,N/A,N/A,N/A,N/A,N/A,Product,D,1
50,005COL300X,Unisex,N/A,N/A,N/A,N/A,N/A,Product,D,1
51,007COL300X,Female,Plastic,Classic,N/A,N/A,N/A,Product,D,1
52,008COL579,Female,Plastic,Classic,N/A,N/A,N/A,Product,D,1
53,009COL300,Female,Plastic,Classic,N/A,N/A,N/A,Product,D,1
54,010COL300Y,Female,Plastic,Classic,N/A,N/A,N/A,Product,D,1
55,010COL579G,Female,Plastic,Classic,N/A,N/A,N/A,Product,D,1
56,011COLR72,Female,Plastic,Classic,N/A,N/A,N/A,Product,D,1
57,013COL300Y,Unisex,N/A,N/A,N/A,N/A,N/A,Product,D,1
58,007COL722,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
59,018COL704/49,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
60,018COL700/51,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
61,018COL722/51,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
62,019COL722/52,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
63,021COL700/52,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
64,023COLU30,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
65,023COLZ42,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
66,023COLZ73,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
67,024COL00T,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
68,024COL300T,Female,Plastic,Classic,N/A,N/A,N/A,Product,D,1
69,024COL579,Female,Plastic,Classic,N/A,N/A,N/A,Product,D,1
70,025COLT21,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
71,026COL700,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
72,026COL704,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
73,026COL958,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
74,027COL700,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
75,027COL704,Female,Plastic,Classic,N/A,N/A,N/A,Product,E,1
76,027COL958,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
77,027COLZ48,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
78,028COLT05,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
79,028COLV71,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
80,028COLW60,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
81,029COL700,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
82,029COL700Y,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
83,029COLV69,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
84,030COL893,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
85,030COL998,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
86,031COL700,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
87,032COLT60,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
88,032COLT62,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
89,035COL704,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
90,035COLU38,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
91,036COL700,Unisex,N/A,N/A,N/A,N/A,N/A,Product,E,1
92,038COLJ55/50,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
93,038COLJ56/50,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
94,038COLW19/50,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
95,038COLW20/50,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
96,038COLW28/50,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
97,039COLJ55/51,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
98,039COLJ57/51,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
99,040COLJ56/51,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
100,040COLW20/51,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
101,041COLJ55/50,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
102,041COLJ58/50,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
103,041COLJ59/50,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
104,042COL732S/51,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
105,043COL700/49,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
106,043COL736S/51,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
107,044COL722,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
108,044COLB19,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
109,045COL700,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
110,045COL722,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
111,047COLB39,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
112,047COLB40,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
113,047COLB41,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
114,049COL700,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
115,049COL722,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
116,051COLB57,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
117,051COLB58,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
118,052COLB01,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
119,052COLB02,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
120,052COLB03,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
121,052COLB44,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
122,052COLJ96,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
123,053COLB39/52,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
124,054COLB38/51,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
125,055COL700/51,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
126,056COL722/52,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
127,058COL700,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
128,058COLD78,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
129,058COLG47,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
130,059COLB99,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
131,059COLG67,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
132,060COL880,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
133,060COLB99,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
134,060COLG44,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
135,062COL700,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
136,062COLD67,Female,Plastic,N/A,N/A,N/A,N/A,Product,E,1
137,1000,Female,Plastic,N/A,N/A,N/A,N/A,Parts,F,1
138,1226 COL 5700,Female,Plastic,N/A,N/A,N/A,N/A,Product,G,1
139,1226 COL 703,Female,Plastic,N/A,N/A,N/A,N/A,Parts,F,1
140,1226 COL 716,Female,Plastic,N/A,N/A,N/A,N/A,Parts,F,1
141,1226 COL 9724,Female,Plastic,N/A,N/A,N/A,N/A,Parts,F,1
142,1227 COL 5700,Female,Plastic,N/A,N/A,N/A,N/A,Product,G,1
143,1227 COL 703,Female,Plastic,N/A,N/A,N/A,N/A,Parts,F,1
144,1227 COL 716,Female,Plastic,N/A,N/A,N/A,N/A,Product,G,1
145,1227 COL 9724,Female,Plastic,N/A,N/A,N/A,N/A,Parts,F,1
146,1228 COL 703,Unisex,N/A,N/A,N/A,N/A,N/A,Product,G,1
